CODIGO;MUNICIPIO;PROVINCIA
14001;Adamuz;Córdoba
14002;Aguilar de la Frontera;Córdoba
14003;Alcaracejos;Córdoba
14004;Almedinilla;Córdoba
14005;Almodóvar del Río;Córdoba
14006;Añora;Córdoba
14007;Baena;Córdoba
14008;Belalcázar;Córdoba
14009;Belmez;Córdoba
14010;Benamejí;Córdoba
14011;Blázquez, Los;Córdoba
14012;Bujalance;Córdoba
14013;Cabra;Córdoba
14014;Cañete de las Torres;Córdoba
14015;Carcabuey;Córdoba
14016;Cardeña;Córdoba
14017;Carlota, La;Córdoba
14018;Carpio, El;Córdoba
14019;Castro del Río;Córdoba
14020;Conquista;Córdoba
14021;Córdoba;Córdoba
14022;Doña Mencía;Córdoba
14023;Dos Torres;Córdoba
14024;Encinas Reales;Córdoba
14025;Espejo;Córdoba
14026;Espiel;Córdoba
14027;Fernán-Núñez;Córdoba
14901;Fuente Carreteros;Córdoba
14028;Fuente la Lancha;Córdoba
14029;Fuente Obejuna;Córdoba
14030;Fuente Palmera;Córdoba
14031;Fuente-Tójar;Córdoba
14032;Granjuela, La;Córdoba
14033;Guadalcázar;Córdoba
14902;Guijarrosa, La;Córdoba
14034;Guijo, El;Córdoba
14035;Hinojosa del Duque;Córdoba
14036;Hornachuelos;Córdoba
14037;Iznájar;Córdoba
14038;Lucena;Córdoba
14039;Luque;Córdoba
14040;Montalbán de Córdoba;Córdoba
14041;Montemayor;Córdoba
14042;Montilla;Córdoba
14043;Montoro;Córdoba
14044;Monturque;Córdoba
14045;Moriles;Córdoba
14046;Nueva Carteya;Córdoba
14047;Obejo;Córdoba
14048;Palenciana;Córdoba
14049;Palma del Río;Córdoba
14050;Pedro Abad;Córdoba
14051;Pedroche;Córdoba
14052;Peñarroya-Pueblonuevo;Córdoba
14053;Posadas;Córdoba
14054;Pozoblanco;Córdoba
14055;Priego de Córdoba;Córdoba
14056;Puente Genil;Córdoba
14057;Rambla, La;Córdoba
14058;Rute;Córdoba
14059;San Sebastián de los Ballesteros;Córdoba
14061;Santa Eufemia;Córdoba
14060;Santaella;Córdoba
14062;Torrecampo;Córdoba
14063;Valenzuela;Córdoba
14064;Valsequillo;Córdoba
14065;Victoria, La;Córdoba
14066;Villa del Río;Córdoba
14067;Villafranca de Córdoba;Córdoba
14068;Villaharta;Córdoba
14069;Villanueva de Córdoba;Córdoba
14070;Villanueva del Duque;Córdoba
14071;Villanueva del Rey;Córdoba
14072;Villaralto;Córdoba
14073;Villaviciosa de Córdoba;Córdoba
14074;Viso, El;Córdoba
14075;Zuheros;Córdoba
